BLOCKSIZE,L1_ASSOC,L1_SIZE,L1_miss_rate,L2_ASSOC,L2_SIZE,L2_miss_rate,PREF_M,PREF_N,TRACE,prefetches,sweep,trace
16,8,64,,4,512,,1,2,,,,gcc.trace.txt
16,2,16,,1,256,,2,2,,,,gcc.trace.txt
32,1,32,0.6165,2,256,0.4952,1,1,,0,,gcc.trace.txt
16,1,16,0.6836,4,128,0.5117,2,1,,0,,gcc.trace.txt
32,2,32,,2,0,,2,1,,,,gcc.trace.txt
16,2,64,,8,0,,0,1,,,,gcc.trace.txt
32,2,16,,2,0,,2,2,,,,gcc.trace.txt
16,8,64,,1,128,,0,0,,,,gcc.trace.txt
16,8,16,,8,256,,2,1,,,,gcc.trace.txt
32,4,16,,1,512,,2,2,,,,gcc.trace.txt
32,8,4096,0.0537,4,524288,0.4813,0,0,,0,,gcc.trace.txt
32,1,32,0.6165,1,128,0.7027,2,0,,0,,gcc.trace.txt
16,4,32,,2,256,,0,0,,,,gcc.trace.txt
32,4,8,,8,256,,1,2,,,,gcc.trace.txt
16,8,64,,1,128,,2,0,,,,gcc.trace.txt
32,2,16,,2,0,,0,2,,,,gcc.trace.txt
16,2,64,,8,0,,2,1,,,,gcc.trace.txt
32,2,32,,2,0,,0,1,,,,gcc.trace.txt
16,1,16,0.6836,4,128,0.5117,0,1,,0,,gcc.trace.txt
16,8,1024,0.1401,4,262144,0.3365,0,0,,0,,gcc.trace.txt
16,4,32,,2,256,,2,0,,,,gcc.trace.txt
32,1,32,0.6165,1,128,0.7027,0,0,,0,,gcc.trace.txt
16,8,16,,8,256,,0,1,,,,gcc.trace.txt
32,4,16,,1,512,,0,2,,,,gcc.trace.txt
32,8,8,,1,0,,1,0,,,,gcc.trace.txt
32,1,16,,4,0,,1,2,,,,gcc.trace.txt
32,1,32,0.6165,4,512,0.3262,1,2,,0,,gcc.trace.txt
16,8,64,,2,256,,1,1,,,,gcc.trace.txt
16,4,8,,8,256,,2,1,,,,gcc.trace.txt
32,4,16,,4,128,,1,0,,,,gcc.trace.txt
32,1,32,,4,0,,1,1,,,,gcc.trace.txt
16,4,32,,1,128,,1,1,,,,gcc.trace.txt
16,2,16,,1,256,,0,2,,,,gcc.trace.txt
16,1,16,,8,0,,1,0,,,,gcc.trace.txt
16,2,8,,1,0,,1,1,,,,gcc.trace.txt
32,2,32,,2,512,,2,0,,,,gcc.trace.txt
16,8,16,,4,128,,1,2,,,,gcc.trace.txt
16,4,8,,1,512,,2,0,,,,gcc.trace.txt
32,4,8,,4,0,,2,0,,,,gcc.trace.txt
32,4,8,,4,128,,2,1,,,,gcc.trace.txt
16,1,16,0.6836,8,256,0.3769,1,2,,0,,gcc.trace.txt
64,8,1024,0.1473,8,524288,0.0986,0,0,,0,,gcc.trace.txt
64,2,16384,0.026,4,524288,0.5585,0,0,,0,,gcc.trace.txt
16,2,32,,1,0,,2,1,,,,gcc.trace.txt
16,1,64,0.4967,2,256,0.5695,0,2,,0,,gcc.trace.txt
16,2,16,,1,0,,2,2,,,,gcc.trace.txt
32,8,32,,4,512,,0,1,,,,gcc.trace.txt
64,4,32768,0.0156,4,262144,0.932,0,0,,0,,gcc.trace.txt
16,8,16,,1,512,,0,0,,,,gcc.trace.txt
32,2,32,,8,128,,1,0,,,,gcc.trace.txt
16,1,64,0.4967,4,512,0.3986,2,1,,0,,gcc.trace.txt
32,8,32,,2,256,,2,2,,,,gcc.trace.txt
32,1,64,0.5338,2,256,0.5719,0,2,,0,,gcc.trace.txt
32,1,8,,2,0,,2,2,,,,gcc.trace.txt
16,4,64,0.4645,1,128,0.78,2,2,,0,,gcc.trace.txt
16,2,8,,1,256,,2,0,,,,gcc.trace.txt
16,8,32,,4,512,,0,1,,,,gcc.trace.txt
32,8,16,,1,512,,0,0,,,,gcc.trace.txt
16,2,32,0.5666,8,128,0.6102,1,0,,0,,gcc.trace.txt
32,2,8,,2,128,,0,2,,,,gcc.trace.txt
32,1,64,0.5338,4,512,0.3768,2,1,,0,,gcc.trace.txt
16,8,32,,2,256,,2,2,,,,gcc.trace.txt
64,8,2048,0.0996,2,131072,0.1466,0,0,,0,,gcc.trace.txt
16,8,8192,0.0587,8,262144,0.8028,0,0,,0,,gcc.trace.txt
32,8,16,,4,128,,1,2,,,,gcc.trace.txt
16,2,8,,2,128,,1,1,,,,gcc.trace.txt
32,1,16,,8,256,,1,2,,,,gcc.trace.txt
16,1,32768,0.0591,2,524288,0.7969,0,0,,0,,gcc.trace.txt
16,8,8192,0.0587,2,131072,0.8041,0,0,,0,,gcc.trace.txt
64,8,2048,0.0996,8,262144,0.1458,0,0,,0,,gcc.trace.txt
32,1,8,,1,512,,2,2,,,,gcc.trace.txt
32,8,32,,8,0,,0,1,,,,gcc.trace.txt
16,1,32,0.5884,4,512,0.3365,1,2,,0,,gcc.trace.txt
16,4,16,,4,128,,1,0,,,,gcc.trace.txt
16,8,8,,1,512,,2,2,,,,gcc.trace.txt
16,8,64,,2,0,,2,1,,,,gcc.trace.txt
32,8,16,,8,0,,0,2,,,,gcc.trace.txt
32,2,16,,1,256,,0,2,,,,gcc.trace.txt
32,4,32,,1,128,,1,1,,,,gcc.trace.txt
16,2,32,0.5666,2,512,0.3743,2,0,,0,,gcc.trace.txt
16,8,16,,4,0,,0,0,,,,gcc.trace.txt
16,2,8,,8,512,,2,1,,,,gcc.trace.txt
32,4,16,,2,0,,1,0,,,,gcc.trace.txt
16,8,2048,0.0969,4,524288,0.4866,0,0,,0,,gcc.trace.txt
32,1,16,,4,128,,0,1,,,,gcc.trace.txt
32,4,32,,2,256,,2,0,,,,gcc.trace.txt
16,1,32,0.5884,1,128,0.6837,0,0,,0,,gcc.trace.txt
64,8,8192,0.0316,4,524288,0.4593,0,0,,0,,gcc.trace.txt
16,4,16,,1,512,,0,2,,,,gcc.trace.txt
32,8,16,,8,256,,0,1,,,,gcc.trace.txt
16,4,32,,1,512,,1,0,,,,gcc.trace.txt
64,4,8192,0.0386,0,0,0.0,0,0,,0,,gcc.trace.txt
16,1,16,0.6836,1,128,0.5884,1,2,,0,,gcc.trace.txt
32,2,32,,2,128,,2,1,,,,gcc.trace.txt
16,2,64,0.4721,8,512,0.4116,2,2,,0,,gcc.trace.txt
32,4,16,,4,512,,1,1,,,,gcc.trace.txt
16,1,8,,2,0,,1,2,,,,gcc.trace.txt
32,1,32,0.6165,1,512,0.4304,0,1,,0,,gcc.trace.txt
64,8,4096,0.0599,8,262144,0.2424,0,0,,0,,gcc.trace.txt
32,1,16,,1,0,,0,1,,,,gcc.trace.txt
32,2,32,,1,256,,1,0,,,,gcc.trace.txt
32,1,32,,1,0,,0,2,,,,gcc.trace.txt
16,1,16384,0.0672,4,524288,0.7017,0,0,,0,,gcc.trace.txt
16,2,16,,4,256,,1,1,,,,gcc.trace.txt
16,4,32,,4,128,,0,2,,,,gcc.trace.txt
64,8,4096,0.0599,2,131072,0.2437,0,0,,0,,gcc.trace.txt
16,8,64,,1,512,,2,1,,,,gcc.trace.txt
16,1,16,0.6836,4,512,0.2896,0,0,,0,,gcc.trace.txt
16,2,8,,4,0,,0,2,,,,gcc.trace.txt
16,1,32,,2,0,,2,2,,,,gcc.trace.txt
16,8,16,,1,128,,0,1,,,,gcc.trace.txt
32,2,32,,8,512,,1,1,,,,gcc.trace.txt
32,8,131072,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
32,1,32,0.6165,8,256,0.4533,0,0,,0,,gcc.trace.txt
16,1,64,0.4967,4,128,0.7038,2,0,,0,,gcc.trace.txt
32,1,64,,8,0,,0,2,,,,gcc.trace.txt
16,1,16,,2,0,,2,1,,,,gcc.trace.txt
16,4,8,,2,256,,1,0,,,,gcc.trace.txt
16,2,64,0.4721,2,128,0.7765,1,2,,0,,gcc.trace.txt
16,1,64,,4,0,,0,0,,,,gcc.trace.txt
32,8,32,,4,128,,0,0,,,,gcc.trace.txt
